id,owner_name,spec_name,brand_name,series_name,model_name,outer_color_name,guide_price,bare_car_price,settlement_price,sale_price,sale_price_finance,intended_landing_price,sku_tag,energy_type,is_virtual_source,in_store_insurance,can_issue_vat_invoice,sale_status,memo,sku_picture,is_deleted
12,成都超有爱科技有限公司,中规,AITO 问界,问界M9,鸿蒙智行 问界M9 25款 增程 Max版 52kWh 5座版,丹霞橙,46.98万,45000000,45000000,46000000,47000000,,,2,0,1,1,1,测试sku,,0
14,成都超有爱科技有限公司,中规/国产,奥迪,奥迪Q5L,奥迪Q5L 25款 quattro 45周年典藏版 40 TFSI 时尚动感型,传奇黑,34.98万,34000000,34000000,35888800,36888800,,,1,0,1,1,1,,,0
16,山东易驾通汽车服务有限公司,中规/国产,奥迪,奥迪A4L,奥迪A4L 25款 40 TFSI 时尚动感型,水晶银,28.98万,22222200,22222200,23333300,24444400,,,1,0,1,1,1,,,0
18,山东易驾通汽车服务有限公司,中规/国产,宝马,宝马X3 M,宝马X3 M 22款 X3 M雷霆版,量子蓝,90.99万,100000000,100000000,101111100,102222200,,,1,0,1,1,1,,,0
20,阿里巴巴测试有限公司,中规,阿维塔,阿维塔07,阿维塔07 2026款 Elite 增程版,苍绿,21.99万,20000000,20000000,21000000,22000000,,,2,1,1,0,2,,,0
21,成都超有爱科技有限公司,中规,宝骏,宝骏悦也,宝骏悦也 2025款 两周年纪念版,霓虹,8.08万,4000000,4000000,4999900,5000000,,,1,0,1,1,1,,,0
22,成都超有爱科技有限公司,中规,奇瑞,瑞虎8 PRO,奇瑞 瑞虎8 PRO 25款 290T 两驱舒适版,冰原秘境蓝,11.99万,10000000,10000000,9000000,9100000,,,1,0,1,1,1,,,0
23,深圳前海卓展汽车贸易有限公司,中规,奥迪AUDI,奥迪E5 Sportback,奥迪E5 Sportback 2026款 先锋quattro型,白色,26.99万,,,,,,,2,0,1,1,0,,,0
24,深圳前海卓展汽车贸易有限公司,中规,奥迪AUDI,奥迪E5 Sportback,奥迪E5 Sportback 2026款 钦定性能quattro型,棕色,27.99万,26990000,26990000,27690000,27590000,,,2,0,1,1,2,,,0
25,凯迪生态环境科技股份有限公司,中规,奥迪AUDI,奥迪E5 Sportback,奥迪E5 Sportback 2026款 先锋quattro型,棕色,26.99万,24990000,24990000,25490000,25390000,,,2,0,1,1,1,123123,,0
26,凯迪生态环境科技股份有限公司,中规,奥迪AUDI,奥迪E5 Sportback,奥迪E5 Sportback 2026款 钦定性能quattro型,红色,27.99万,25990000,25990000,26990000,26490000,,,2,0,1,1,1,12312321321312,,0
27,一汽大众杭州4S店,中规,奔驰,奔驰CLE,奔驰CLE 2026款 CLE 260 轿跑车,北极白,45.76万,41760000,41760000,42760000,42060000,,,1,1,1,1,1,123,,0
28,成都超有爱科技有限公司,中规,保时捷,Macan新能源,Macan新能源 2026款 Macan 长续航版,白色,59.80万,59000000,59000000,60000000,58888800,,,2,0,1,1,1,测试,,0
29,秦,中规,比亚迪,秦L,秦L 2026款 DM-i 128KM领先型,冰珀青,10.68万,9680000,9680000,9880000,9780000,,,2,1,1,1,1,123,,0
30,杭州猛禽汽车有限公司,中规,保时捷,Macan新能源,Macan新能源 2026款 Macan 长续航版,白色,59.80万,18888800,18888800,19999900,20000000,,,2,0,0,0,1,,,0
31,日产轩逸,中规,日产,轩逸,轩逸 2024款 改款三 经典 1.6XE CVT舒适版,碧玉黑,7.99万,5990000,5990000,6990000,6790000,,,1,1,1,1,1,234,https://img.maihaoche.com/wms/checkOut/o_1jki5b3jl1v7e1emu13gt1ma714k0o_xy_4b9cf3f3-bbd1-406c-8e69-0f859473881a.png,0
32,凯迪生态环境科技股份有限公司,中规,奥迪,奥迪A3,奥迪A3 2026款 Sportback 35TFSI 飞驰悦享型,阿玛菲白,16.59万,13599000,13599000,13999000,13799000,,,1,0,1,1,1,,,0
33,朗逸车行,中规,大众,朗逸,大众 朗逸 24款 1.5L 自动五百万版,风采蓝,13.09万,12090000,12090000,12890000,12590000,,,1,1,1,1,1,,,0
34,飞书,中规,爱驰,爱驰U5,爱驰U5 21款 U5 SE,黑色/白日月夜,16.69万,12300000,12300000,13400000,11223300,,,1,1,1,0,1,测试123123,,0
36,杭州猛禽汽车有限公司,中规,奇瑞,瑞虎8 PRO,奇瑞 瑞虎8 PRO 25款 290T 两驱舒适版,冰原秘境蓝,11.99万,,,,,,,1,0,1,1,2,,,0
37,星愿4S,中规,吉利银河,星愿,星愿 2026款 310km 青春版,海盐蓝,6.88万,5880000,5880000,6880000,6680000,,,2,1,1,1,1,1231231232,,0
38,成都超有爱科技有限公司,中规,北京汽车,北京EU5 PLUS,北京EU5 PLUS 24款 R600 臻享版,波特红,15.89万,20000000,20000000,3000000,4000000,,,1,0,1,1,1,,,0
39,杭州猛禽汽车有限公司,中规,北京汽车,北京EU5 PLUS,北京EU5 PLUS 24款 R600 臻享版,波特红,15.89万,1888800,1888800,2888800,3888800,,,1,0,1,1,1,,,0
40,成都超有爱科技有限公司,中规,奇瑞,瑞虎8 PRO,奇瑞 瑞虎8 PRO 25款 290T 两驱舒适版,机甲武士黑,11.99万,9250000,9250000,9350000,9350000,,,1,0,1,1,1,,,0
41,飞书,中规,大众,速腾,速腾 2026款 3000万辆甄选款 300TSI DSG 飞越版,糖果白,14.99万,14000000,14000000,14999900,15000000,,,1,1,1,1,1,,,0
44,成都超有爱科技有限公司,中规,奔驰,奔驰C级,奔驰C级 2026款 C 200 L 运动版,钯银,33.83万,,,,,,,1,0,1,1,0,,,0
45,成都超有爱科技有限公司,中规,奔驰,奔驰C级,奔驰C级 2026款 C 200 L 运动版,北极白,33.83万,10000000,10400000,11000000,12000000,,,1,0,1,1,2,,,0
46,飞书1,中规,本田,思域,本田 思域 25款 180TURBO CVT 智趣,彩晶黑,12.99万,8000000,8000000,9000000,10000000,,,1,1,1,0,1,,,0
47,阿里巴巴测试有限公司,中规,阿尔法·罗密欧,阿尔法·罗密欧GT,阿尔法·罗密欧GT 04款 3.2,白色,40.00万,40000000,40000000,41000000,41000000,,,1,1,1,1,1,,https://img.maihaoche.com/aito/assets/8d2b3ea0-42d9-474b-a362-3d0098aaf6a4-车1.jpg,0
48,1233,国产,奥迪,奥迪A6L,奥迪 A6L 18款 30周年年型 35 TFSI 运动型,达科他灰,44.94万,1000000,1080000,10000000,200000,,,1,1,1,1,2,,https://img.maihaoche.com/aito/assets/d585d800-73a5-4ce2-bd30-173eebe5d264-车1.jpg,0
49,大众集团,中规,大众,ID.4 CROZZ,ID.4 CROZZ 2026款 纯享版PURE,曜夜蓝,14.99万,11000000,11200000,12000000,12999900,,,1,1,1,1,1,测试,https://img.maihaoche.com/aito/assets/d8ec5855-9e8f-4656-ad35-9f4846195ca3-wecom-temp-293748-c25a41a8dfa5453a2df816f795078ea0.jpg,0
50,成都超有爱科技有限公司,中规,长安欧尚,长安欧尚520,长安欧尚520 2025款 标准版(车电分离),白色,10.68万,15000000,15150000,18000000,19000000,,,2,0,1,1,2,,,0
51,成都超有爱科技有限公司,中规,长江EV,奕阁,奕阁 2017款 豪华版,白色,暂无报价,20000000,22120200,21000000,22000000,,,2,0,1,1,2,,,0
52,飞书啊啊是谁,中规,埃安,传祺GE3,埃安 传祺GE3 20款 530 乐享版,典雅黑,15.48万,18000000,18250000,18300000,18300000,,,2,1,1,1,1,,,0
53,阿萨德,中规,奥迪,奥迪A3,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰悦享型,阿玛菲白,16.99万,0,0,18888800,18888800,18888800,,2,1,1,1,1,测试,https://car2.autoimg.cn/cardfs/series/g33/M08/89/1E/400x300_autohomecar__ChxpVWohVk-AbLF7AGvTn9Ig5ls979.png,0
54,钱钱钱112,中规,爱驰,爱驰U6,爱驰U6 23款 Play 63kWh,黑色/霓虹橙,21.99万,10000000,10002000,10000000,11100000,,,1,1,1,1,1,,https://img.maihaoche.com/aito/assets/d1579af0-9aee-44f1-98cb-c26db3de7f57-卡罗拉.jpg,0
55,阿里巴巴测试有限公司123,中规,奥迪,奥迪Q5 e-tron,奥迪Q5 e-tron 24款 50 e-tron quattro 光耀型 锦衣套装,干将红,36.75万,10000000,10170000,11000000,11000000,100100,,1,1,1,1,2,,https://car2.autoimg.cn/cardfs/series/g32/M03/DD/72/400x300_autohomecar__Chtk2WbRh4SAZi7nAAa9XT4b070473.png?imageView2/1/w/400/h/300,0
56,杭州即享信息技术有限公司,中规,奥迪,奥迪Q5 e-tron,奥迪Q5 e-tron 2024款 50 e-tron quattro 光耀型 锦衣套装,达摩黑,36.75万,,,,,,,2,0,1,1,0,,,0
57,山东易驾通汽车服务有限公司,中规/国产,奥迪,奥迪A4L,奥迪A4L 2025款 40 TFSI 时尚动感型,阿科纳白,28.98万,,,,,,,1,0,1,1,0,,,0
58,杭州即享信息技术有限公司,中规,奥迪,奥迪Q5 e-tron,奥迪Q5 e-tron 2024款 50 e-tron quattro 光耀型 锦衣套装,达摩黑,36.75万,,,,,,,2,0,1,1,0,,,0
